N,M,Method,Tau,Error,Computation Time
1,1,Scipy,1,0.0,0.002511262893676758
1,1,Arnoldi,1,0.0,0.0020823240280151366
1,1,Lanzcos,1,0.0,0.0017961978912353516
2,1,Scipy,1,0.0,0.0016036033630371094
2,1,Arnoldi,1,5.551115123125783e-17,0.0006556987762451171
2,1,Lanzcos,1,5.551115123125783e-17,0.0006701469421386719
2,2,Scipy,1,0.0,0.0016036033630371094
2,2,Arnoldi,1,7.850462293418877e-17,0.0010573625564575194
2,2,Lanzcos,1,7.850462293418877e-17,0.001101207733154297
4,1,Scipy,1,0.0,0.0007877349853515625
4,1,Arnoldi,1,0.03762677526832968,0.0006524562835693359
4,1,Lanzcos,1,0.03762677526832968,0.0006672620773315429
4,2,Scipy,1,0.0,0.0007877349853515625
4,2,Arnoldi,1,5.551115123125783e-17,0.0010846614837646484
4,2,Lanzcos,1,7.850462293418877e-17,0.001076674461364746
4,3,Scipy,1,0.0,0.0007877349853515625
4,3,Arnoldi,1,2.3551386880256624e-16,0.0011401891708374024
4,3,Lanzcos,1,2.66222128970246e-16,0.0011175155639648437
4,4,Scipy,1,0.0,0.0007877349853515625
4,4,Arnoldi,1,9.614813431917819e-17,0.0012172937393188476
4,4,Lanzcos,1,1.1102230246251565e-16,0.001148080825805664
8,1,Scipy,1,0.0,0.0008027553558349609
8,1,Arnoldi,1,0.059214661316807624,0.0006660938262939454
8,1,Lanzcos,1,0.059214661316807624,0.0006737709045410156
8,2,Scipy,1,0.0,0.0008027553558349609
8,2,Arnoldi,1,0.018360525234507232,0.0011173486709594727
8,2,Lanzcos,1,0.018360525234507267,0.0010921716690063476
8,3,Scipy,1,0.0,0.0008027553558349609
8,3,Arnoldi,1,0.004002899157229106,0.001160597801208496
8,3,Lanzcos,1,0.00400289915722908,0.0011282920837402343
8,4,Scipy,1,0.0,0.0008027553558349609
8,4,Arnoldi,1,1.8410966031475734e-16,0.00123140811920166
8,4,Lanzcos,1,1.962615573354719e-16,0.001174330711364746
8,5,Scipy,1,0.0,0.0008027553558349609
8,5,Arnoldi,1,4.449557262054371e-16,0.0012860298156738281
8,5,Lanzcos,1,2.0206364052201328e-16,0.001175069808959961
8,6,Scipy,1,0.0,0.0008027553558349609
8,6,Arnoldi,1,4.47545209131181e-16,0.001323843002319336
8,6,Lanzcos,1,3.5652682413747997e-16,0.0011913299560546875
8,7,Scipy,1,0.0,0.0008027553558349609
8,7,Arnoldi,1,2.6766507790745728e-16,0.0013803482055664063
8,7,Lanzcos,1,1.9229626863835638e-16,0.0012192964553833009
8,8,Scipy,1,0.0,0.0008027553558349609
8,8,Arnoldi,1,2.747661802696606e-16,0.001449918746948242
8,8,Lanzcos,1,3.2957919968262575e-16,0.0012378215789794922
16,1,Scipy,1,0.0,0.0008082389831542969
16,1,Arnoldi,1,0.07858938573592612,0.0006598711013793945
16,1,Lanzcos,1,0.07858938573592612,0.0006682872772216797
16,2,Scipy,1,0.0,0.0008082389831542969
16,2,Arnoldi,1,0.02695171481506655,0.0010810375213623046
16,2,Lanzcos,1,0.02695171481506658,0.0010796785354614258
16,3,Scipy,1,0.0,0.0008082389831542969
